"Ziekenhuisopnamen; diagnose-indeling VTV, regio"
""
""
"Onderwerp";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners"
"Geslacht";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen";"Totaal mannen en vrouwen"
"Soort opname";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen";"Totaal opnamen"
"Perioden";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*";"2023*"
"Diagnose";"1.1 Infectieziekten van maagdarmkanaal";"1.1 Infectieziekten van maagdarmkanaal";"1.3 RVP-ziekten";"1.3 RVP-ziekten";"1.6 Meningokokkenziekten";"1.6 Meningokokkenziekten";"1.6.2 Overige meningokokkenziekten";"1.6.2 Overige meningokokkenziekten";"1.11 Ziekte van Pfeiffer";"1.11 Ziekte van Pfeiffer";"1.12 Lyme-ziekte";"1.12 Lyme-ziekte";"1.15 Ziekte van Creutzfeldt-Jakob";"1.15 Ziekte van Creutzfeldt-Jakob";"4.1 Schildklierziekten";"4.1 Schildklierziekten";"4.2 Diabetes mellitus (suikerziekte)";"4.2 Diabetes mellitus (suikerziekte)";"6 Totaal ziekten van zenuwstelsel";"6 Totaal ziekten van zenuwstelsel";"6.1 Ziekte van Parkinson, parkinsonisme";"6.1 Ziekte van Parkinson, parkinsonisme";"6.5 Overige ziekten van zenuwstelsel";"6.5 Overige ziekten van zenuwstelsel";"7 Totaal ziekten van oog en adnexen";"7 Totaal ziekten van oog en adnexen";"7.8 Overige ziekten van oog en adnexen";"7.8 Overige ziekten van oog en adnexen";"9.3 Coronaire hartziekten";"9.3 Coronaire hartziekten";"9.3.2 Coronaire hartziekten excl. AMI";"9.3.2 Coronaire hartziekten excl. AMI";"11.5 Inflammatoire darmziekten";"11.5 Inflammatoire darmziekten";"11.7 Divertikelziekte";"11.7 Divertikelziekte";"11.8 Leverziekten";"11.8 Leverziekten";"11.8.1 Alcohol geïnduceerde leverziekten";"11.8.1 Alcohol geïnduceerde leverziekten";"11.8.3 Overige leverziekten";"11.8.3 Overige leverziekten";"11.9 Ziekten van galblaas en galwegen";"11.9 Ziekten van galblaas en galwegen";"18 Totaal sympt. en onvoll. oms. ziekte.";"18 Totaal sympt. en onvoll. oms. ziekte.";"18.2 Ov. symptomen, onvoll.oms. ziekteb.";"18.2 Ov. symptomen, onvoll.oms. ziekteb."
"Leeftijd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd";"Totaal leeftijd";"Totaal, gestandaardiseerd"
"Regio's";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners";"aantal per 10 000 inwoners"
"Nederland";"7,3";"7,3";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,2";"0,2";"0,0";"0,0";"2,0";"2,0";"5,3";"5,3";"36,2";"36,2";"0,9";"0,9";"20,6";"20,6";"30,8";"30,8";"10,5";"10,5";"51,5";"51,5";"31,5";"31,5";"46,5";"46,5";"10,0";"10,0";"4,8";"4,8";"1,2";"1,2";"2,9";"2,9";"22,7";"22,7";"81,5";"81,5";"81,5";"81,5"
"GGD Groningen (GG)";"7,7";"8,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,2";"0,2";"0,0";"0,0";"2,1";"2,2";"5,6";"5,5";"31,7";"32,5";"0,6";"0,6";"19,4";"19,8";"31,3";"31,6";"9,1";"9,2";"51,6";"52,5";"32,2";"32,8";"29,2";"29,2";"9,8";"10,0";"4,6";"4,8";"0,8";"0,8";"3,1";"3,2";"23,3";"23,9";"76,1";"78,0";"76,1";"78,0"
"GGD Drenthe (GG)";"9,4";"9,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,6";"0,6";"0,0";"0,0";"1,8";"1,7";"6,4";"6,0";"40,3";"39,3";"0,6";"0,5";"22,9";"21,5";"54,7";"46,6";"13,0";"11,9";"66,7";"57,0";"42,5";"36,2";"44,1";"45,2";"8,2";"7,1";"4,6";"4,1";"1,3";"1,2";"2,8";"2,5";"29,9";"28,0";"109,8";"100,1";"109,8";"100,1"
"GGD IJsselland (GG)";"8,0";"8,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,2";"0,2";"0,0";"0,0";"1,9";"1,9";"4,5";"4,6";"41,7";"42,2";"1,0";"1,0";"26,0";"26,3";"65,8";"67,7";"18,5";"18,7";"43,8";"44,7";"27,5";"28,1";"31,9";"32,3";"9,3";"9,6";"4,5";"4,5";"1,5";"1,5";"2,5";"2,5";"24,8";"25,3";"89,1";"90,4";"89,1";"90,4"
