brongemeente;SLA-sector;concentratie (µg/m³);relatieve bijdrage (%);doelgemeente;scenario;stof;datum export;applicatie versie;data versie
Haarlemmermeer;Wegverkeer;0,36;14,12;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;Industrie & energie;0,15;6,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Luchtvaart & rail;0,11;4,44;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;Consumenten;0,08;3,31;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Consumenten sfeerverwarming;0,07;2,67;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;HDO & Bouw;0,06;2,56;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Consumenten;0,06;2,33;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Velsen;Industrie & energie;0,04;1,77;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nederlandse bijdragen buiten een gemeente;Scheepvaart & visserij;0,04;1,62;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rotterdam;Industrie & energie;0,04;1,56;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Landbouw;0,04;1,52;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Industrie & energie;0,04;1,48;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlem;Industrie & energie;0,03;1,38;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;HDO & Bouw;0,03;1,34;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;Wegverkeer;0,03;1,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen aan den Rijn;Industrie & energie;0,03;1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaanstad;Industrie & energie;0,02;0,91;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlem;Consumenten;0,02;0,84;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Mobiele werktuigen bouw (SEB);0,02;0,79;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Aalsmeer;Consumenten sfeerverwarming;0,01;0,52;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Haag;Consumenten;0,01;0,51;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hillegom;Industrie & energie;0,01;0,49;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Mobiele werktuigen;0,01;0,48;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kaag en Braassem;Consumenten sfeerverwarming;0,01;0,47;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlem;HDO & Bouw;0,01;0,45;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rotterdam;Consumenten;0,01;0,44;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kaag en Braassem;Wegverkeer;0,01;0,43;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rotterdam;Scheepvaart & visserij;0,01;0,37;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kaag en Braassem;Industrie & energie;0,01;0,35;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amstelveen;Consumenten;0,01;0,35;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen aan den Rijn;Consumenten;0,01;0,35;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen aan den Rijn;Consumenten sfeerverwarming;0,01;0,33;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;Scheepvaart & visserij;0,01;0,33;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;Binnenvaart & recreatievaart;0,01;0,32;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiden;Consumenten;0,01;0,32;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;Consumenten sfeerverwarming;0,01;0,32;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlem;Consumenten sfeerverwarming;0,01;0,32;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rotterdam;HDO & Bouw;0,01;0,31;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlem;Wegverkeer;0,01;0,3;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Binnenvaart & recreatievaart;0,01;0,28;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaanstad;Consumenten;0,01;0,27;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nieuwkoop;Consumenten sfeerverwarming;0,01;0,27;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;Mobiele werktuigen;0,01;0,26;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Utrecht;Consumenten;0,01;0,26;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zoetermeer;Consumenten;0,01;0,26;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rotterdam;Wegverkeer;0,01;0,25;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amstelveen;Wegverkeer;0,01;0,24;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amsterdam;Mobiele werktuigen bouw (SEB);0,01;0,24;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heemstede;Consumenten sfeerverwarming;0,01;0,23;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaanstad;Consumenten sfeerverwarming;0,01;0,23;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Almere;Consumenten;0,01;0,22;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Ronde Venen;Consumenten sfeerverwarming;0,01;0,22;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nederlandse bijdragen buiten een gemeente;Binnenvaart & recreatievaart;0,01;0,22;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Aalsmeer;Wegverkeer;0,01;0,21;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bloemendaal;Consumenten sfeerverwarming;0,01;0,21;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Haag;HDO & Bouw;0,01;0,21;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
